ISO3,CTSCode,Year,Measurements
MDG,ECCS,1963,-0.267
MWI,ECCS,1963,-0.382
MYS,ECCS,1963,-0.12
MLI,ECCS,1963,0.209
MLT,ECCS,1963,-0.174
MTQ,ECCS,1963,0.235
MRT,ECCS,1963,0.137
MUS,ECCS,1963,-0.067
MYT,ECCS,1963,-0.16
MEX,ECCS,1963,0.215
MCO,ECCS,1963,-0.59
MNG,ECCS,1963,1.19
MSR,ECCS,1963,0.228
MAR,ECCS,1963,0.182
MOZ,ECCS,1963,-0.403
MMR,ECCS,1963,-0.17
NPL,ECCS,1963,-0.211
NLD,ECCS,1963,-1.272
NCL,ECCS,1963,-0.158
NZL,ECCS,1963,-0.354
NIC,ECCS,1963,-0.116
NER,ECCS,1963,0.411
NGA,ECCS,1963,0.257
NIU,ECCS,1963,-0.473
NFK,ECCS,1963,0.1
NOR,ECCS,1963,-0.124
OMN,ECCS,1963,0.494
PAK,ECCS,1963,0.442
PNG,ECCS,1963,-0.017
PRY,ECCS,1963,0.889
PER,ECCS,1963,0.011
PHL,ECCS,1963,-0.349
PCN,ECCS,1963,0.185
POL,ECCS,1963,-0.884
PRT,ECCS,1963,-0.072
PRI,ECCS,1963,0.136
QAT,ECCS,1963,0.334
ROU,ECCS,1963,-0.295
RWA,ECCS,1963,-0.204
SPM,ECCS,1963,-0.193
WSM,ECCS,1963,0.069
SMR,ECCS,1963,-0.391
STP,ECCS,1963,0.272
SAU,ECCS,1963,0.474
SEN,ECCS,1963,0.083
SYC,ECCS,1963,-0.098
SLE,ECCS,1963,0.166
SLB,ECCS,1963,-0.085
SOM,ECCS,1963,-0.211
ZAF,ECCS,1963,0.187
ESP,ECCS,1963,-0.217
LKA,ECCS,1963,-0.007
KNA,ECCS,1963,0.228
LCA,ECCS,1963,0.323
VCT,ECCS,1963,0.448
SUR,ECCS,1963,-0.078
SJM,ECCS,1963,-2.244
SWE,ECCS,1963,-0.453
CHE,ECCS,1963,-0.864
SYR,ECCS,1963,0.554
TWN,ECCS,1963,-0.233
TZA,ECCS,1963,-0.296
THA,ECCS,1963,-0.315
TLS,ECCS,1963,-0.624
TGO,ECCS,1963,0.038
TKL,ECCS,1963,0.13
TON,ECCS,1963,-0.297
TTO,ECCS,1963,0.307
TUN,ECCS,1963,-0.014
TCA,ECCS,1963,0.045
TUV,ECCS,1963,-0.021
UGA,ECCS,1963,-0.212
ARE,ECCS,1963,0.301
GBR,ECCS,1963,-0.866
USA,ECCS,1963,0.426
VIR,ECCS,1963,0.153
URY,ECCS,1963,0.334
VUT,ECCS,1963,-0.157
VEN,ECCS,1963,-0.041
VNM,ECCS,1963,-0.283
WLF,ECCS,1963,0.131
PSE,ECCS,1963,0.834
ESH,ECCS,1963,0.351
YEM,ECCS,1963,0.203
ZMB,ECCS,1963,-0.367
ZWE,ECCS,1963,-0.462
AFG,ECCS,1964,-0.762
